tracking_id	uid	accountNameJa	accountNameEn	title	authors	authorsJa	journal	volume	number	pages	publicationDate	journalType	pubmedId	doi	
tracking-454	kazuya1	市原 知哉	"ichihara,kazuya"	Identification and characterization of novel proteins associated with CHD4.	"Chihiro Sakaguchi,Kazuya Ichihara,Akihiro Nita,Yuta Katayama,Keiichi I Nakayama"		Genes to cells : devoted to molecular & cellular mechanisms	27		61-71	2021-12-08	DOMESTIC	34897913	10.1111/gtc.12909	
tracking-455	aiokada	岡田 愛	"Okada,Ai"	Systematic identification of intron retention associated variants from massive publicly available transcriptome sequencing data.	"Shiraishi Y, Okada A, Chiba K, Kawachi A, Omori I, Mateos RN, Iida N, Yamauchi H, Kosaki K, Yoshimi"		Nature communications	13	1	5357	2022-09-29	INTERNATIONAL	36175409	10.1038/s41467-022-32887-9	
tracking-481	sem1006	横溝 匠	"Yokomizo,Takumi"	"Endogenous rhythm variation and adaptation to the tidal environment in the freshwater snail, Semisulcospira reiniana"	Takumi Yokomizo and Yuma Takahashi		Frontiers in Ecology and Evolution					DOMESTIC			
tracking-499	t2	高田 豊行	"Takada,Toyoyuki"	MoG+: a database of genomic variations across three mouse subspecies for biomedical research 	"Takada T, Fukuta K, Usuda D, Kushida T, Kondo S, Kawamoto S, Yoshiki A, Obata Y, Fujiyama A, Toyoda A, Noguchi H, Shiroishi T, Masuya H"		Mammalian Genome					INTERNATIONAL	34782917	https://doi.org/10.1007/s00335-021-09933-w	
tracking-505	seiya-okuno	奥野 聖也	"Okuno,Seiya"	Community phylogeny and spatial scale affect phylogenetic diversity metrics in a species-rich rainforest in Borneo	"Seiya Okuno, Tingting Yin, Satoshi Nanami, Shuhei Matsuyama, Koichi Kamiya, Sylvester Tan, Stuart J. Davies, Mohizah Mohamad, Takuo Yamakura and Akira Itoh"		Ecology and Evolution				2022-11-22	INTERNATIONAL		10.1002/ece3.9536	
tracking-508	mikasaka	坂本 美佳	"Sakamoto,Mika"	Best Practices for Comprehensive Annotation of Neuropeptides of Gryllus bimaculatus	"akako Mochizuki, Mika Sakamoto, Yasuhiro Tanizawa, Hitomi Seike, Zhen Zhu, Yi Jun Zhou, Keisuke Fukumura, Shinji Nagata and Yasukazu Nakamura"		Insects	14	2	121	2023-01-25	INTERNATIONAL		https://doi.org/10.3390/insects14020121	
tracking-512	tikuta	生田 達也	"IKUTA,TATSUYA"	Identification and Functional Characterization of Fungal Chalcone Synthase and Chalcone Isomerase 	"Sho Furumura, Taro Ozaki, Akihiro Sugawara, Yohei Morishita, Kento Tsukada, Tatsuya Ikuta, Asuka Inoue, and Teigo Asai"		Journal of Natural Products					INTERNATIONAL	36762727	10.1021/acs.jnatprod.2c01027	
tracking-518	moshikinnct	押木 守	"oshiki,mamoru"	Growth of nitrite-oxidizing Nitrospira and ammonia-oxidizing Nitrosomonas in marine recirculating trickling biofilter reactors	"Mamoru Oshiki, Hirotoshi Netsu, Kyohei Kuroda, Takashi Narihiro, Naoki Fujii, Tomonori Kindaichi, Yoshiyuki Suzuki, Takahiro Watari, Masashi Hatamoto, Takashi Yamaguchi, Nobuo Araki, Satoshi Okabe"		Environmental Microbiology					INTERNATIONAL	35672869		
tracking-518	moshikinnct	押木 守	"oshiki,mamoru"	Metagenomic Analysis of Five Phylogenetically Distant Anammox Bacterial Enrichment Cultures	"Mamoru Oshiki1, Yoshihiro Takaki, Miho Hirai, Takuro Nunoura, Atsushi Kamigaito, and Satoshi Okabe"		Microbes & Environments					INTERNATIONAL			
tracking-525	koshimizu	越水 静	"Koshimizu,Shizuka"	Phylogenetic distribution and expression pattern analyses identified a divergent basal body assembly protein involved in land plant spermatogenesis	"Shizuka Koshimizu # 1, Naoki Minamino # 2, Tomoaki Nishiyama 3, Emiko Yoro 4, Mayuko Sato 5, Mayumi Wakazaki 5, Kiminori Toyooka 5, Kazuo Ebine 2 6, Keiko Sakakibara 4, Takashi Ueda 2 6, Kentaro Yano 1"		New Phytologist				2022-08-03	INTERNATIONAL	35842793	https://doi.org/10.1111/nph.18385	
tracking-526	ykurumida	来見田 遥一	"kurumida,yoichi"	Selection of target-binding proteins from the information of weakly enriched phage display libraries by deep sequencing and machine learning	"Tomoyuki Ito, Thuy Duong Nguyen, Yutaka Saito, Yoichi Kurumida, Hikaru Nakazawa, Sakiya Kawada, Hafumi Nishi, Koji Tsuda, Tomoshi Kameda & Mitsuo Umetsu"		mAbs	15	1	2168470	2023-01-22	INTERNATIONAL		10.1080/19420862.2023.2168470	
tracking-555	wongsk	null null	"Wong,Shu Kuan"	Vegetation drives the distribution of microbial generalists that in turn shapes the overall microbial community structure in the low Arctic tundra	"Shu-Kuan Wong, Yingshun Cui, Seong-Jun Chun, Ryo Kaneko, Shota Masumoto, Ryo Kitagawa, Akira S. Mori, An Suk Lim and Masaki Uchida"		Environmental Microbiome					INTERNATIONAL			
tracking-558	yoshida826	吉田 圭佑	"Yoshida,Keisuke"	Priority effects shape the structure of infant-type Bifidobacterium communities on human milk oligosaccharides	"Miriam N. Ojima, Lin Jiang, Aleksandr A. Arzamasov, Keisuke Yoshida, Toshitaka Odamaki, Jinzhong Xiao, Aruto Nakajima, Motomitsu Kitaoka, Junko Hirose, Tadasu Urashima, Toshihiko Katoh, Aina Gotoh, Douwe van Sinderen, Dmitry A. Rodionov, Andrei L. Osterman, Mikiyasu Sakanaka & Takane Katayama"		The ISME Journal	16	9	2265-2279	2022-09-16	INTERNATIONAL	35768643	10.1038/s41396-022-01270-3	
tracking-559	t-goto	後藤 孝太	"Goto,Takato"	ありません	ありません		ありません					DOMESTIC			
tracking-564	iwasakit-path	イワサキ タケシ	"IWASAKI,TAKESHI"	Merkel cell polyomavirus-negative Merkel cell carcinoma is associated with JAK-STAT and MEK-ERK pathway activation	"Takeshi Iwasaki, Kazuhiko Hayashi, Michiko Matsushita, Daisuke Nonaka, Kenichi Kohashi, Satoshi Kuwamoto, Yoshihisa Umekita, Yoshinao Oda"		Cancer Sci . 	113	1	251-260	2022-01-24	DOMESTIC	34724284	10.1111/cas.15187	
tracking-570	yusuke-f-w	渡部 裕介	"Watanabe,Yusuke"	Modern japanese ancestry-derived variants reveal the formation process of the current japanese regional gradations	"Yusuke Watanabe, Jun Ohashi"		iScience					DOMESTIC			
tracking-571	mikasaka	坂本 美佳	"Sakamoto,Mika"	Best Practices for Comprehensive Annotation of Neuropeptides of Gryllus bimaculatus	"Takako Mochizuki, Mika Sakamoto, Yasuhiro Tanizawa, Hitomi Seike, Zhen Zhu, Yi Jun Zhou, Keisuke Fukumura, Shinji Nagata, Yasukazu Nakamura "		Insects					DOMESTIC	36835690		
tracking-579	ofwluw-1991	前野 慎太朗	"Maeno,Shintaro"	16S rRNA gene sequence diversity in Faecalibacterium prausnitzii-complex taxa has marked impacts on quantitative analysis	"Hiroki Tanno, Shintaro Maeno, Seppo Salminen, Miguel Gueimonde and Akihito Endo"		FEMS Microbiology Ecology					INTERNATIONAL	35090008	10.1093/femsec/fiac004	
tracking-579	ofwluw-1991	前野 慎太朗	"Maeno,Shintaro"	Niche-specific adaptation of Lactobacillus helveticus strains isolated from malt whisky and dairy fermentations	"Yoshihiko Kido, Shintaro Maeno, Hiroki Tanno, Yuko Kichise, Yuh Shiwa and Akihito Endo"		Microbial Genomics					DOMESTIC	33900907		
tracking-581	akiend1230	遠藤 明仁	"Endo,Akihito"	Extracellular fructooligosaccharide degradation in Anaerostipes hadrus for co-metabolism with non-fructooligosaccharide utilizers.	"Akihito Endo,Hiroki Tanno,Ren Kadowaki,Tadashi Fujii,Takumi Tochio"		Biochemical and biophysical research communications	613		81-86	2022-04-12	INTERNATIONAL	35537289	10.1016/j.bbrc.2022.04.134	
tracking-583	tmochidu	望月 孝子	"TAKAKO,MOCHIZUKI"	Best Practices for Comprehensive Annotation of Neuropeptides of Gryllus bimaculatus	"Takako Mochizuki, Mika Sakamoto, Yasuhiro Tanizawa , Hitomi Seike, Zhen Zhu , Yi Jun Zhou , Keisuke Fukumura, Shinji Nagata , Yasukazu Nakamura "		Insects					INTERNATIONAL	36835690		
