tracking_id	uid	accountNameJa	accountNameEn	title	authors	authorsJa	journal	volume	number	pages	publicationDate	journalType	pubmedId	doi	description	url
tracking-2626	mikasaka	坂本 美佳	"Sakamoto,Mika"	Best Practices for Comprehensive Annotation of Neuropeptides of Gryllus bimaculatus.	"Takako Mochizuki,Mika Sakamoto,Yasuhiro Tanizawa,Hitomi Seike,Zhen Zhu,Yi Jun Zhou,Keisuke Fukumura,Shinji Nagata,Yasukazu Nakamura"		Insects	14			2022/11/25	DOMESTIC	36835690	10.3390/insects14020121		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=36835690&retmode=xml
tracking-2668	yurika	難波 祐里香	"Namba,Yurika"	投稿準備中	投稿準備中		投稿準備中					INTERNATIONAL				
tracking-2677	ymkana	弓本 佳苗	"Yumimoto,Kanae"	Molecular evolution of Keap1 was essential for adaptation of vertebrates to terrestrial life.	"Kanae Yumimoto,Shigeaki Sugiyama,Saori Motomura,Daisuke Takahashi,Keiichi I Nakayama"		Science advances	9		eadg2379	2023/5/22	DOMESTIC	37205751	10.1126/sciadv.adg2379		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37205751&retmode=xml
tracking-2734	amialland	Mialland Adrien	"Mialland,Adrien"	none	none		none					INTERNATIONAL				
tracking-2736	saito-nig	齋藤 裕	"Saito,Yutaka"	A Multiomics Atlas of Brown Adipose Tissue Development Over Time.	"Yutaro Kumagai,Yutaka Saito,Yasuyuki S Kida"		Endocrinology	164			2023/4/21	INTERNATIONAL	37083724	10.1210/endocr/bqad064		
tracking-2736	saito-nig	齋藤 裕	"Saito,Yutaka"	VeloPro: A pipeline integrating Ribo-seq and AlphaFold deciphers association patterns between translation velocity and protein structure features among prokaryotic and eukaryotic organisms.	"Bian Bian, Toshitaka Kumagai, Yutaka Saito"		iMeta	2			2023/11/19	INTERNATIONAL		10.1002/imt2.148		
tracking-2736	saito-nig	齋藤 裕	"Saito,Yutaka"	Extensive antibody search with whole spectrum black-box optimization.	"Andrejs Tu?s, Tomoyuki Ito, Yoichi Kurumida, Sakiya Kawada, Hikaru Nakazawa, Yutaka Saito, Mitsuo Umetsu, Koji Tsuda"		Scientific Reports	14			2024/1/4	INTERNATIONAL	38177656	10.1038/s41598-023-51095-z		
tracking-2736	saito-nig	齋藤 裕	"Saito,Yutaka"	タンパク質の言語モデル.	"山口 秀輝, 齋藤 裕"		JSBi Bioinformatics Review	4			2023/6/3	INTERNATIONAL		10.11234/jsbibr.2023.1		
tracking-2740	wirayatida	null null	"Bubphasook,Wirayatida"	The role of drug in Pteropine Orthoreovirus infection	Wirayatida Bubphasook		Under submission					INTERNATIONAL			"To profile gene expression of drug to inhibit PRV when compared with mock and PRV infection by next-generation sequencing. 
"	
tracking-2754	takeshi-ito	伊藤 岳	"ITO,TAKESHI"	無し	無し		無し					INTERNATIONAL				
tracking-2759	takusasaki	佐々木 卓	"Sasaki,Taku"	無し	無し		無し					INTERNATIONAL				
tracking-2804	ofwluw-1991	前野 慎太朗	"Maeno,Shintaro"	Spore-forming properties and enhanced oxygen tolerance of butyrate-producing Anaerostipes spp.	"Kadowaki R, Tanno H, Maeno S, Endo A."		Anaerobe					INTERNATIONAL	37301503			
tracking-2805	smaeno	前野 慎太朗	"Maeno,Shintaro"	Spore-forming properties and enhanced oxygen tolerance of butyrate-producing Anaerostipes spp	"Kadowaki R, Tanno H, Maeno S, Endo A."		Anaerobe					INTERNATIONAL	37301503			
tracking-2807	seira1234	荒金 青空	"Arakane,Seira"	なし	なし		なし					INTERNATIONAL				
tracking-2816	erimbara	林原 絵美子	"Rimbara,Emiko"	無し	無し		無し					INTERNATIONAL				
tracking-2820	juninamo	稲毛 純	"Inamo,Jun"	Immune Isoform Atlas: Landscape of alternative splicing in human immune cells	"Jun Inamo, Akari Suzuki, Mahoko Ueda, Kensuke Yamaguchi,  Hiroshi Nishida, Katsuya Suzuki, Yuko Kaneko, Tsutomu Takeuchi, Yasushi Ishihama, Kazuhiko Yamamoto, Yuta Kochi"		bioRxiv					INTERNATIONAL		https://doi.org/10.1101/2022.09.13.507708		
tracking-2822	tfukazawa	深澤 太郎	"Fukazawa,Taro"	無し	無し		無し					INTERNATIONAL				
tracking-2844	so	中川 草	"Nakagawa,So"	Genomic diversity of SARS-CoV-2 can be accelerated by mutations in the nsp14 gene.	"Kosuke Takada,Mahoko Takahashi Ueda,Shintaro Shichinohe,Yurie Kida,Chikako Ono,Yoshiharu Matsuura,Tokiko Watanabe,So Nakagawa"		iScience	26		106210	2022/11/18	DOMESTIC	36811085	10.1016/j.isci.2023.106210		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=36811085&retmode=xml
tracking-2844	so	中川 草	"Nakagawa,So"	SARS-CoV-2 HaploGraph: visualization of SARS-CoV-2 haplotype spread in Japan.	"So Nakagawa,Toshiaki Katayama,Lihua Jin,Jiaqi Wu,Kirill Kryukov,Rise Oyachi,Junko S Takeuchi,Takatomo Fujisawa,Satomi Asano,Momoka Komatsu,Jun-Ichi Onami,Takashi Abe,Masanori Arita"		Genes & genetic systems	98		221-237	2023/11/23	DOMESTIC	37839865	10.1266/ggs.23-00085		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37839865&retmode=xml
tracking-2844	so	中川 草	"Nakagawa,So"	Dynamic Evolution of Retroviral Envelope Genes in Egg-Laying Mammalian Genomes	"Koichi Kitao,Hiyori Shoji,Takayuki Miyazawa,So Nakagawa"		Molecular Biology and Evolution	40	5	msad090	2023/5/2	INTERNATIONAL	37062963	10.1093/molbev/msad090		https://academic.oup.com/mbe/article/40/5/msad090/7124362
tracking-2851	stiwanaga	岩永 史朗	"Iwanaga,Shiroh"	Coordinated regulation of gene expression in Plasmodium female gametocytes by two transcription factors.	"Yuho Murata,Tsubasa Nishi,Izumi Kaneko,Shiroh Iwanaga,Masao Yuda"		eLife	12			2024/1/24	DOMESTIC	38252559	10.7554/eLife.88317		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=38252559&retmode=xml
tracking-2824	bbian	辺 遍	"Bian,Bian"	VeloPro: A pipeline integrating Ribo-seq and AlphaFold deciphers association patterns between translation velocity and protein structure features	"Bian Bian, Toshitaka Kumagai, Yutaka Saito"	邊遍，熊谷俊高，齋藤裕	iMeta					INTERNATIONAL		https://doi.org/10.1002/imt2.148		
tracking-2825	k-yahara	矢原 耕史	"Yahara,Koji"	National genomic surveillance integrating standardized quantitative susceptibility testing clarifies antimicrobial resistance in Enterobacterales.	"Shizuo Kayama,Koji Yahara,Yo Sugawara,Sayoko Kawakami,Kohei Kondo,Hui Zuo,Shoko Kutsuno,Norikazu Kitamura,Aki Hirabayashi,Toshiki Kajihara,Hitomi Kurosu,Liansheng Yu,Masato Suzuki,Junzo Hisatsune,Motoyuki Sugai"		Nature communications	14		8046	2023/5/1	DOMESTIC	38052776	10.1038/s41467-023-43516-4		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=38052776&retmode=xml
tracking-2827	akihisa-osakabe	越阪部 晃永	"Osakabe,Akihisa"	なし	なし		なし					INTERNATIONAL				
tracking-2829	kazuya1	市原 知哉	"ichihara,kazuya"	RPL3L-containing ribosomes determine translation elongation dynamics required for cardiac function.	"Chisa Shiraishi,Akinobu Matsumoto,Kazuya Ichihara,Taishi Yamamoto,Takeshi Yokoyama,Taisuke Mizoo,Atsushi Hatano,Masaki Matsumoto,Yoshikazu Tanaka,Eriko Matsuura-Suzuki,Shintaro Iwasaki,Shouji Matsushima,Hiroyuki Tsutsui,Keiichi I Nakayama"		Nature communications	14		2131	2022/7/12	DOMESTIC	37080962	10.1038/s41467-023-37838-6		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37080962&retmode=xml
tracking-2829	kazuya1	市原 知哉	"ichihara,kazuya"	The ASC-1 complex promotes translation initiation by scanning ribosomes.	"Yuki Kito,Akinobu Matsumoto,Kazuya Ichihara,Chisa Shiraishi,Ronghao Tang,Atsushi Hatano,Masaki Matsumoto,Peixun Han,Shintaro Iwasaki,Keiichi I Nakayama"		The EMBO journal	42		e112869	2023/3/18	DOMESTIC	37092320	10.15252/embj.2022112869		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37092320&retmode=xml
tracking-2829	kazuya1	市原 知哉	"ichihara,kazuya"	Mechanistic dissection of premature translation termination induced by acidic residues-enriched nascent peptide.	"Yuhei Chadani,Takashi Kanamori,Tatsuya Niwa,Kazuya Ichihara,Keiichi I Nakayama,Akinobu Matsumoto,Hideki Taguchi"		Cell reports	42		113569	2023/8/14	DOMESTIC	38071619	10.1016/j.celrep.2023.113569		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=38071619&retmode=xml
tracking-2847	kokada	岡田 航輝	"Okada,Kouki"	Nuclear Transformation of the Marine Pennate Diatom Nitzschia sp. Strain NIES-4635 by Multi-Pulse Electroporation.	"Koki Okada,Yu Morimoto,Yukine Shiraishi,Takashi Tamura,Shigeki Mayama,Takashi Kadono,Masao Adachi,Kentaro Ifuku,Michiko Nemoto"		"Marine biotechnology (New York, N.Y.)"	25		1208-1219	2023/9/5	DOMESTIC	38071657	10.1007/s10126-023-10273-w		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=38071657&retmode=xml
